measurement_id,instrument,operator,ref_value,instrument_offset,instrument_error,operator_offset,operator_error,measurement
1,instrument_4,operator_1,50,0,5,0,5,
2,instrument_1,operator_2,50,0,5,0,5,
3,instrument_4,operator_3,50,0,5,0,10,
4,instrument_3,operator_2,50,0,5,0,5,
5,instrument_4,operator_3,50,0,5,0,10,
6,instrument_1,operator_3,50,0,5,0,10,
7,instrument_2,operator_1,50,0,5,0,5,
8,instrument_5,operator_3,50,2,6,0,10,
9,instrument_1,operator_1,50,0,5,0,5,
10,instrument_5,operator_3,50,2,6,0,10,
11,instrument_1,operator_3,50,0,5,0,10,
12,instrument_3,operator_2,50,0,5,0,5,
13,instrument_5,operator_2,50,2,6,0,5,
14,instrument_1,operator_1,50,0,5,0,5,
15,instrument_4,operator_1,50,0,5,0,5,
16,instrument_5,operator_3,50,2,6,0,10,
17,instrument_4,operator_3,50,0,5,0,10,
18,instrument_1,operator_1,50,0,5,0,5,
19,instrument_2,operator_2,50,0,5,0,5,
20,instrument_4,operator_3,50,0,5,0,10,
21,instrument_2,operator_3,50,0,5,0,10,
22,instrument_2,operator_3,50,0,5,0,10,
23,instrument_3,operator_1,50,0,5,0,5,
24,instrument_4,operator_1,50,0,5,0,5,
25,instrument_3,operator_3,50,0,5,0,10,
26,instrument_5,operator_2,50,2,6,0,5,
27,instrument_3,operator_3,50,0,5,0,10,
28,instrument_2,operator_1,50,0,5,0,5,
29,instrument_2,operator_2,50,0,5,0,5,
30,instrument_5,operator_1,50,2,6,0,5,
31,instrument_5,operator_1,50,2,6,0,5,
32,instrument_4,operator_2,50,0,5,0,5,
33,instrument_5,operator_1,50,2,6,0,5,
34,instrument_5,operator_2,50,2,6,0,5,
35,instrument_4,operator_1,50,0,5,0,5,
36,instrument_1,operator_1,50,0,5,0,5,
37,instrument_3,operator_2,50,0,5,0,5,
38,instrument_1,operator_2,50,0,5,0,5,
39,instrument_4,operator_3,50,0,5,0,10,
40,instrument_4,operator_1,50,0,5,0,5,
41,instrument_5,operator_3,50,2,6,0,10,
42,instrument_5,operator_1,50,2,6,0,5,
43,instrument_2,operator_3,50,0,5,0,10,
44,instrument_5,operator_1,50,2,6,0,5,
45,instrument_2,operator_3,50,0,5,0,10,
46,instrument_4,operator_1,50,0,5,0,5,
47,instrument_4,operator_3,50,0,5,0,10,
48,instrument_3,operator_1,50,0,5,0,5,
49,instrument_3,operator_1,50,0,5,0,5,
50,instrument_5,operator_2,50,2,6,0,5,
51,instrument_4,operator_1,50,0,5,0,5,
52,instrument_4,operator_3,50,0,5,0,10,
53,instrument_5,operator_3,50,2,6,0,10,
54,instrument_3,operator_1,50,0,5,0,5,
55,instrument_3,operator_3,50,0,5,0,10,
56,instrument_1,operator_1,50,0,5,0,5,
57,instrument_4,operator_3,50,0,5,0,10,
58,instrument_4,operator_2,50,0,5,0,5,
59,instrument_5,operator_3,50,2,6,0,10,
60,instrument_5,operator_3,50,2,6,0,10,
61,instrument_5,operator_1,50,2,6,0,5,
62,instrument_4,operator_2,50,0,5,0,5,
63,instrument_3,operator_3,50,0,5,0,10,
64,instrument_2,operator_3,50,0,5,0,10,
65,instrument_3,operator_1,50,0,5,0,5,
66,instrument_1,operator_1,50,0,5,0,5,
67,instrument_1,operator_2,50,0,5,0,5,
68,instrument_4,operator_3,50,0,5,0,10,
69,instrument_2,operator_3,50,0,5,0,10,
70,instrument_3,operator_2,50,0,5,0,5,
71,instrument_4,operator_2,50,0,5,0,5,
72,instrument_1,operator_2,50,0,5,0,5,
73,instrument_3,operator_1,50,0,5,0,5,
74,instrument_5,operator_1,50,2,6,0,5,
75,instrument_2,operator_1,50,0,5,0,5,
76,instrument_1,operator_2,50,0,5,0,5,
77,instrument_3,operator_1,50,0,5,0,5,
78,instrument_1,operator_2,50,0,5,0,5,
79,instrument_4,operator_1,50,0,5,0,5,
80,instrument_2,operator_1,50,0,5,0,5,
81,instrument_5,operator_1,50,2,6,0,5,
82,instrument_3,operator_3,50,0,5,0,10,
83,instrument_5,operator_1,50,2,6,0,5,
84,instrument_1,operator_2,50,0,5,0,5,
85,instrument_3,operator_2,50,0,5,0,5,
86,instrument_2,operator_3,50,0,5,0,10,
87,instrument_2,operator_2,50,0,5,0,5,
88,instrument_4,operator_1,50,0,5,0,5,
89,instrument_4,operator_3,50,0,5,0,10,
90,instrument_2,operator_2,50,0,5,0,5,
91,instrument_1,operator_1,50,0,5,0,5,
92,instrument_2,operator_1,50,0,5,0,5,
93,instrument_1,operator_2,50,0,5,0,5,
94,instrument_2,operator_3,50,0,5,0,10,
95,instrument_2,operator_1,50,0,5,0,5,
96,instrument_1,operator_3,50,0,5,0,10,
97,instrument_2,operator_2,50,0,5,0,5,
98,instrument_2,operator_1,50,0,5,0,5,
99,instrument_3,operator_1,50,0,5,0,5,
100,instrument_5,operator_2,50,2,6,0,5,
101,instrument_4,operator_2,50,0,5,0,5,
102,instrument_5,operator_2,50,2,6,0,5,
103,instrument_5,operator_2,50,2,6,0,5,
104,instrument_3,operator_2,50,0,5,0,5,
105,instrument_2,operator_1,50,0,5,0,5,
106,instrument_4,operator_2,50,0,5,0,5,
107,instrument_1,operator_3,50,0,5,0,10,
108,instrument_2,operator_3,50,0,5,0,10,
109,instrument_5,operator_2,50,2,6,0,5,
110,instrument_4,operator_2,50,0,5,0,5,
111,instrument_1,operator_2,50,0,5,0,5,
112,instrument_5,operator_3,50,2,6,0,10,
113,instrument_5,operator_1,50,2,6,0,5,
114,instrument_2,operator_2,50,0,5,0,5,
115,instrument_4,operator_1,50,0,5,0,5,
116,instrument_3,operator_1,50,0,5,0,5,
117,instrument_2,operator_1,50,0,5,0,5,
118,instrument_3,operator_3,50,0,5,0,10,
119,instrument_4,operator_3,50,0,5,0,10,
120,instrument_4,operator_2,50,0,5,0,5,
121,instrument_4,operator_3,50,0,5,0,10,
122,instrument_1,operator_2,50,0,5,0,5,
123,instrument_3,operator_2,50,0,5,0,5,
124,instrument_5,operator_3,50,2,6,0,10,
125,instrument_5,operator_2,50,2,6,0,5,
126,instrument_3,operator_2,50,0,5,0,5,
127,instrument_1,operator_2,50,0,5,0,5,
128,instrument_2,operator_3,50,0,5,0,10,
129,instrument_3,operator_1,50,0,5,0,5,
130,instrument_5,operator_3,50,2,6,0,10,
131,instrument_1,operator_3,50,0,5,0,10,
132,instrument_1,operator_2,50,0,5,0,5,
133,instrument_1,operator_3,50,0,5,0,10,
134,instrument_3,operator_3,50,0,5,0,10,
135,instrument_3,operator_3,50,0,5,0,10,
136,instrument_5,operator_1,50,2,6,0,5,
137,instrument_1,operator_2,50,0,5,0,5,
138,instrument_3,operator_1,50,0,5,0,5,
139,instrument_1,operator_1,50,0,5,0,5,
140,instrument_4,operator_3,50,0,5,0,10,
141,instrument_4,operator_2,50,0,5,0,5,
142,instrument_1,operator_3,50,0,5,0,10,
143,instrument_2,operator_3,50,0,5,0,10,
144,instrument_3,operator_3,50,0,5,0,10,
145,instrument_3,operator_3,50,0,5,0,10,
